#name: M.tuberculosis, PaxDB integrated dataset
#score: 12.3
#weight: 
#description: integrated dataset: weighted average of 'M.tuberculosis, PeptideAtlas,Feb,2012' (weighting 100%), 'Yun.Sang.Cho,Proteomics,2012' (weighting 40%)<br/><b>Interaction consistency score</b>: 12.3&nbsp<b>Coverage</b>: 81%
#organ: WHOLE_ORGANISM
#integrated: true
#
#internal_id	string_external_id	abundance
#
1778390	83332.Rv0002	506.559926095815
1778391	83332.Rv0003	19.4732066757629
1778392	83332.Rv0004	3.02482467704643
1778393	83332.Rv0005	287.98202356784
1778394	83332.Rv0006	263.826011413685
1778395	83332.Rv0007	332.129648232515
1778396	83332.Rv0008c	261.694336922469
1778397	83332.Rv0009	2095.76366780721
1778398	83332.Rv0010c	1.38431027776399
1778399	83332.Rv0011c	262.469670699109
1778400	83332.Rv0012	28.2681333227676
1778401	83332.Rv0013	115.518751835371
1778402	83332.Rv0014c	164.563784382138
1778403	83332.Rv0015c	117.813272951361
1778404	83332.Rv0016c	57.4607107091436
1778405	83332.Rv0017c	6.94151446053122
1778406	83332.Rv0018c	129.578575310257
1778407	83332.Rv0019c	81.1556220701764
1778408	83332.Rv0020c	1342.61348866732
1778411	83332.Rv0023	23.319783264166
1778413	83332.Rv0025	59.9947707207203
1778414	83332.Rv0026	9.96831516438117
1778415	83332.Rv0027	64.6183875867406
1778416	83332.Rv0028	32.2106403825619
1778417	83332.Rv0029	26.1077641385873
1778418	83332.Rv0030	28.5218151351245
1778420	83332.Rv0032	0.909407003601046
1778422	83332.Rv0034	38.7802433917477
1778423	83332.Rv0035	11.3905943211785
1778424	83332.Rv0036c	331.744584700528
1778425	83332.Rv0037c	7.22571478422689
1778426	83332.Rv0038	67.8535801112037
1778428	83332.Rv0040c	302.333508121575
1778429	83332.Rv0041	165.082481896932
1778430	83332.Rv0042c	172.884236747485
1778431	83332.Rv0043c	32.9274623798668
1778432	83332.Rv0044c	346.107333183034
1778433	83332.Rv0045c	55.6672548202137
1778434	83332.Rv0046c	288.086577795814
1778435	83332.Rv0047c	48.4736037715545
1778436	83332.Rv0048c	148.833586834903
1778437	83332.Rv0049	5.1932489054493
1778438	83332.Rv0050	62.5475116776787
1778439	83332.Rv0051	2.53519532641519
1778440	83332.Rv0052	84.2894069966251
1778441	83332.Rv0053	1661.35185802103
