511145.b0570	P77485
511145.b0575	P38054
511145.b0577	P0AAT4
511145.b0578	P38489
511145.b0579	P0AAT2
511145.b0581	P77213
511145.b0584	P05825
511145.b0585	P13039
511145.b0586	P11454
511145.b0587	P26266
511145.b0588	P23878
511145.b0592	P0AEL6
511145.b0593	P0AEJ2
511145.b0594	P10378
511145.b0595	P0ADI4
511145.b0596	P15047
511145.b0597	P0A8Y8
511145.b0598	P15078
511145.b0599	P45579
511145.b0605	P0AE08
511145.b0606	P35340
511145.b0607	P39177
511145.b0610	P0AFW4
511145.b0611	P21338
511145.b0614	P0A6G5
511145.b0618	P77390
511145.b0620	P0AEF4
511145.b0623	P0A972
511145.b0627	P0A843
511145.b0628	P60716
511145.b0630	P60720
511145.b0631	P0A8J4
511145.b0632	P0AEB2
511145.b0633	P10100
511145.b0635	P0AD65
511145.b0636	P0A8I8
511145.b0637	P0AAT6
511145.b0640	P28630
511145.b0641	P0ADC1
511145.b0642	P07813
511145.b0643	P0AAT9
511145.b0645	P77627
511145.b0650	P77319
511145.b0651	P41409
511145.b0652	P0AAG3
511145.b0655	P37902
511145.b0657	P23930
511145.b0658	P0AE78
511145.b0659	P0A898
511145.b0660	P0A9K3
511145.b0661	P0AEI1
511145.b0662	P75728
511145.b0674	P22106
511145.b0675	P0AF24
511145.b0676	P0AF20
511145.b0677	P0AF18
511145.b0678	P0A759
511145.b0679	P09323
511145.b0680	P00962
511145.b0683	P0A9A9
511145.b0684	P61949
511145.b0686	P75736
511145.b0687	P0AFY8
511145.b0688	P36938
511145.b0693	P24169
511145.b0694	P21866
511145.b0695	P21865
511145.b0697	P03960
511145.b0698	P03959
511145.b0699	P0AAU2
511145.b0700	P16918
511145.b0707	P24252
511145.b0710	P0AFP6
511145.b0711	P0AAV4
511145.b0712	P75745
511145.b0716	P75748
511145.b0720	P0ABH7
511145.b0721	P69054
511145.b0722	P0AC44
511145.b0723	P0AC41
511145.b0724	P07014
511145.b0726	P0AFG3
511145.b0727	P0AFG6
511145.b0728	P0A836
511145.b0729	P0AGE9
511145.b0730	P13669
511145.b0732	P54746
511145.b0733	P0ABJ9
511145.b0734	P0ABK2
511145.b0736	P0A8Z3
511145.b0737	P0ABU9
511145.b0738	P0ABV6
511145.b0739	P19934
511145.b0740	P0A855
511145.b0741	P0A912
511145.b0742	P45955
511145.b0753	P0AAV6
511145.b0754	P0AB91
511145.b0755	P62707
511145.b0756	P0A9C3
511145.b0757	P0A6T3
511145.b0759	P09147
511145.b0761	P0A9G8
511145.b0763	P37329
511145.b0764	P0AF01
511145.b0765	P09833
511145.b0767	P52697
511145.b0771	P75764
511145.b0772	P46130
511145.b0773	P12994
511145.b0774	P12995
511145.b0776	P12998
511145.b0778	P13000
511145.b0779	P0A8F8
511145.b0781	P30745
511145.b0782	P0AEZ9
511145.b0783	P0A738
511145.b0785	P30749
511145.b0792	P0AFP9
511145.b0795	P75777
511145.b0797	P25888
511145.b0800	P30177
511145.b0801	P30178
511145.b0804	P75779
511145.b0805	P75780
511145.b0807	P75782
511145.b0809	P10346
511145.b0810	P0AEQ6
511145.b0811	P0AEQ3
511145.b0812	P0ABT2
511145.b0814	P0A917
511145.b0815	P75785
511145.b0819	P0AAX8
511145.b0820	P0A9U3
511145.b0822	P75792
511145.b0823	P75793
511145.b0824	P75794
511145.b0825	P78055
511145.b0826	P12282
511145.b0827	P12281
511145.b0828	P37595
511145.b0829	P75796
511145.b0830	P75797
511145.b0833	P75800
511145.b0834	P75801
511145.b0835	P0AEI4
511145.b0836	P0AAY1
511145.b0837	P75804
511145.b0838	P0ACA7
511145.b0839	P08506
511145.b0840	P0ACK5
511145.b0841	P75806
511145.b0842	P0AEY8
511145.b0844	P75809
511145.b0846	P75811
511145.b0849	P68688
511145.b0851	P17117
511145.b0854	P31133
511145.b0857	P0AFL1
511145.b0859	P75817
511145.b0860	P30860
511145.b0863	P30859
511145.b0864	P0AAF6
511145.b0865	P75818
511145.b0866	P0A8C1
511145.b0867	P75820
511145.b0868	P75821
511145.b0870	P75823
511145.b0876	P75828
511145.b0877	P75829
511145.b0879	P75831
511145.b0880	P0A968
511145.b0881	P0A8Q6
511145.b0882	P0ABH9
511145.b0884	P69222
511145.b0885	P0A8P1
511145.b0886	P23886
511145.b0887	P29018
511145.b0888	P0A9P4
511145.b0889	P0ACJ0
511145.b0890	P46889
511145.b0891	P61316
511145.b0892	P0AAZ4
511145.b0893	P0A8L1
511145.b0894	P18775
511145.b0895	P18776
511145.b0897	P21367
511145.b0902	P0A9N4
511145.b0903	P09373
511145.b0904	P0AC23
511145.b0905	P75838
511145.b0907	P23721
511145.b0908	P0A6D3
511145.b0910	P0A6I0
511145.b0911	P0AG67
511145.b0912	P0A6Y1
511145.b0914	P60752
511145.b0915	P27300
511145.b0917	P0AAZ7
511145.b0918	P04951
511145.b0919	P0AB03
511145.b0920	P0AB01
511145.b0922	P60293
511145.b0923	P22524
511145.b0924	P22523
511145.b0925	P22525
511145.b0927	P75849
511145.b0928	P00509
511145.b0930	P0A8M0
511145.b0931	P18133
511145.b0932	P04825
511145.b0933	P0AAI1
511145.b0935	P80645
511145.b0936	P75853
511145.b0939	P75856
511145.b0940	P75857
511145.b0944	P40876
511145.b0945	P0A7E1
511145.b0947	P75863
511145.b0948	P75864
511145.b0949	P43672
511145.b0951	P43671
511145.b0953	P0AFW2
511145.b0954	P0A6Q3
511145.b0956	P0A8N0
511145.b0957	P0A910
511145.b0958	P0AFZ5
511145.b0960	P75870
511145.b0961	P0AB12
511145.b0962	P15038
511145.b0963	P0A731
511145.b0965	P75874
511145.b0966	P0AB20
511145.b0967	P75876
511145.b0968	P0AB65
511145.b0972	P69739
511145.b0973	P0ACD8
511145.b0974	P0AAM1
511145.b0978	P26459
511145.b0980	P07102
511145.b0981	P38134
511145.b0982	P0ACZ2
511145.b0984	P75882
511145.b0989	P0A982
511145.b0990	P0A978
511145.b0993	P39453
511145.b0994	P38683
511145.b0995	P38684
511145.b0999	P63264
511145.b1000	P36659
511145.b1002	P19926
511145.b1003	P0AB14
511145.b1004	P0A8G6
511145.b1009	P75895
511145.b1013	P0ACU2
511145.b1014	P09546
511145.b1015	P07117
511145.b1018	P0AB24
511145.b1019	P31545
511145.b1022	P75905
511145.b1024	P69434
511145.b1033	P75913
511145.b1034	P75914
511145.b1035	P75915
511145.b1045	P0A8D6
511145.b1046	P75919
511145.b1047	P75920
511145.b1048	P33136
511145.b1049	P62517
511145.b1051	P25738
511145.b1055	P24188
511145.b1056	P0A8X2
511145.b1059	P40874
511145.b1062	P05020
511145.b1063	P0AB26
511145.b1064	P0AC59
511145.b1066	P0A948
511145.b1067	P29217
511145.b1068	P75931
511145.b1069	P0AF16
511145.b1070	P43533
511145.b1071	P0AEM4
511145.b1072	P75933
511145.b1073	P0ABW9
511145.b1076	P75937
511145.b1078	P0ABX5
511145.b1079	P0A6S0
511145.b1082	P33235
511145.b1083	P29744
511145.b1084	P21513
511145.b1086	P0AA39
511145.b1087	P0A729
511145.b1088	P0AB28
511145.b1089	P0A7N4
511145.b1090	P27247
511145.b1091	P0A6R0
511145.b1092	P0AAI9
511145.b1093	P0AEK2
511145.b1094	P0A6A8
511145.b1095	P0AAI5
511145.b1097	P28306
511145.b1098	P0A720
511145.b1100	P0AFQ7
511145.b1101	P69786
511145.b1102	P16869
511145.b1103	P0ACE7
511145.b1104	P75946
511145.b1105	P0AB38
511145.b1106	P75948
511145.b1107	P75949
511145.b1108	P0A8E1
511145.b1109	P00393
511145.b1110	P0AB35
511145.b1111	P75952
511145.b1113	P75954
511145.b1114	P30958
511145.b1116	P0ADC3
511145.b1117	P75957
511145.b1118	P75958
511145.b1119	P75959
511145.b1120	P75960
511145.b1123	P0AFK9
511145.b1124	P0AFK6
511145.b1125	P0AFK4
511145.b1126	P69874
511145.b1127	P29745
511145.b1128	P27431
511145.b1129	P23837
511145.b1130	P23836
511145.b1131	P0AB89
511145.b1132	P25746
511145.b1133	P25745
511145.b1134	P0AEI6
511145.b1135	P75966
511145.b1136	P08200
511145.b1137	P75967
511145.b1140	P75969
511145.b1141	P75970
511145.b1153	P75982
511145.b1162	P75989
511145.b1165	P75992
511145.b1171	P0AB46
511145.b1174	P0A734
511145.b1175	P0AEZ3
511145.b1176	P18196
511145.b1178	P76002
511145.b1179	P0AB43
511145.b1182	P77335
511145.b1185	P0A6M2
511145.b1186	P0AFA7
511145.b1187	P0A8V6
511145.b1189	P0A6J5
511145.b1190	P29012
511145.b1191	P76007
511145.b1192	P76008
511145.b1194	P76010
511145.b1197	P13482
511145.b1198	P37349
511145.b1199	P76014
511145.b1200	P76015
511145.b1203	P0ABU2
511145.b1204	P0A7D1
511145.b1205	P0AB49
511145.b1207	P0A717
511145.b1208	P62615
511145.b1209	P61320
511145.b1210	P0A6X1
511145.b1211	P0A7I0
511145.b1213	Q46755
511145.b1214	P0AGM5
511145.b1215	P0A715
511145.b1216	P31801
511145.b1217	P0AE63
511145.b1219	P0AB52
511145.b1221	P0AF28
511145.b1222	P0AFA2
511145.b1223	P10903
511145.b1224	P09152
511145.b1225	P11349
511145.b1227	P11350
511145.b1232	P37051
511145.b1233	P37052
511145.b1234	P0AFR0
511145.b1236	P0AEP3
511145.b1237	P0ACF8
511145.b1238	P23331
511145.b1241	P0A9Q7
511145.b1243	P23843
511145.b1244	P0AFH2
511145.b1245	P0AFH6
511145.b1246	P76027
511145.b1247	P77737
511145.b1249	P0A6H8
511145.b1250	P31069
511145.b1251	P0AB55
511145.b1256	P0A915
511145.b1260	P0A877
511145.b1261	P0A879
511145.b1262	P00909
511145.b1263	P00904
511145.b1264	P00895
511145.b1266	P77766
511145.b1267	P0AFR4
511145.b1268	P45848
511145.b1269	P37765
511145.b1270	P0A9H5
511145.b1271	P31808
511145.b1272	P0AG14
511145.b1273	P0AB61
511145.b1274	P06612
511145.b1275	P0A9F3
511145.b1276	P25516
511145.b1277	P0A7I7
511145.b1279	P0ACV4
511145.b1280	P0AB58
511145.b1281	P08244
511145.b1283	P0ADA7
511145.b1284	P76034
511145.b1285	P77334
511145.b1286	P30850
511145.b1287	P76035
511145.b1288	P0AEK4
511145.b1293	P0AGH3
511145.b1297	P78061
511145.b1302	P50457
511145.b1303	P37344
511145.b1304	P0AFM6
511145.b1305	P0AFM9
511145.b1308	P23857
511145.b1309	P76041
511145.b1314	P76044
511145.b1315	P77503
511145.b1316	P77154
511145.b1320	P77615
511145.b1321	P76046
511145.b1322	P0A8R7
511145.b1323	P07604
511145.b1324	P0A862
511145.b1325	P51981
511145.b1329	P77348
511145.b1330	P0AEB5
511145.b1333	P0AAC0
511145.b1334	P0A9E5
511145.b1335	P0AFH0
511145.b1337	P76052
511145.b1339	P77744
511145.b1340	P76053
511145.b1341	P77302
511145.b1342	P64423
511145.b1343	P21693
511145.b1344	P76055
511145.b1350	P15032
511145.b1353	P38392
511145.b1356	P76062
511145.b1360	P77546
511145.b1365	P76068
511145.b1372	P76072
511145.b1375	P76073
511145.b1376	P37903
511145.b1377	P77747
511145.b1378	P52647
511145.b1379	P52644
511145.b1380	P52643
511145.b1381	P52645
511145.b1382	P64448
511145.b1384	Q47129
511145.b1386	P46883
511145.b1390	P76079
511145.b1392	P76081
511145.b1393	P76082
511145.b1394	P77467
511145.b1399	P76086
511145.b1406	P25906
511145.b1407	P25907
511145.b1408	P76090
511145.b1410	P76092
511145.b1412	P41407
511145.b1413	P43329
511145.b1414	P34209
511145.b1415	P25553
511145.b1418	P0ABE5
511145.b1421	P05704
511145.b1423	P76097
511145.b1424	P40120
511145.b1426	P0ACW6
511145.b1429	P25396
511145.b1430	P25397
511145.b1431	P64451
511145.b1446	P64455
511145.b1448	P76112
511145.b1449	P76113
511145.b1450	P76114
511145.b1451	P76115
511145.b1452	P76116
511145.b1457	P31991
511145.b1460	P28917
511145.b1465	P0AF32
511145.b1467	P19318
511145.b1468	P19319
511145.b1469	P37758
511145.b1475	P0AAJ3
511145.b1479	P26616
511145.b1480	P68191
511145.b1482	P0C0L2
511145.b1483	P77622
511145.b1486	P77308
511145.b1487	P76128
511145.b1492	P63235
511145.b1493	P69910
511145.b1494	P31828
511145.b1495	P31827
511145.b1496	P31826
511145.b1498	P77318
511145.b1501	P77561
511145.b1507	P23874
511145.b1508	P23873
511145.b1512	P76141
511145.b1516	P76142
511145.b1517	P76143
511145.b1520	P76146
511145.b1521	P0A6L7
511145.b1525	P76149
511145.b1526	P77309
511145.b1534	P31126
511145.b1535	P31129
511145.b1536	P31130
511145.b1538	P24171
511145.b1539	P39831
511145.b1540	P0ACM2
511145.b1541	P64463
511145.b1544	P76154
511145.b1549	P76156
511145.b1550	P77695
511145.b1552	P0A986
511145.b1557	P36995
511145.b1558	P0A976
511145.b1564	P0C079
511145.b1566	P77609
511145.b1584	P0A951
511145.b1587	P77374
511145.b1589	P0AAJ1
511145.b1590	P76173
511145.b1593	P0A6E9
511145.b1594	P50456
511145.b1595	P77559
511145.b1602	P0AB67
511145.b1603	P07001
511145.b1604	P76177
511145.b1605	P0AAE5
511145.b1607	P0ACX0
511145.b1608	P52108
511145.b1610	P16525
511145.b1611	P05042
511145.b1612	P0AC33
511145.b1613	P00946
511145.b1614	P77804
511145.b1618	P0ACT6
511145.b1619	P0AET8
511145.b1620	P18811
511145.b1622	P23256
511145.b1623	P22333
511145.b1624	P77376
511145.b1625	P64467
511145.b1629	P77611
511145.b1634	P77304
511145.b1635	P0A9D2
511145.b1636	P77150
511145.b1637	P0AGJ9
511145.b1638	P0AFI7
511145.b1640	P77570
511145.b1641	P0A905
511145.b1642	P0A8W2
511145.b1644	P76185
511145.b1646	P0AGD1
511145.b1647	P76187
511145.b1650	P77258
511145.b1651	P0AC81
511145.b1652	P30014
511145.b1653	P30015
511145.b1654	P0AC69
511145.b1655	P76190
511145.b1656	P0AGD3
511145.b1657	P77389
511145.b1658	P0ACP7
511145.b1659	P0ACR2
511145.b1661	P0A9H7
511145.b1662	P0AFU8
511145.b1663	P37340
511145.b1664	P77552
511145.b1667	P0ACX3
511145.b1673	P76192
511145.b1676	P0AD61
511145.b1677	P69776
511145.b1678	P76193
511145.b1679	P76194
511145.b1680	P77444
511145.b1681	P77689
511145.b1682	P77499
511145.b1683	P77522
511145.b1684	P77667
511145.b1685	P64476
511145.b1686	P77781
511145.b1687	P77748
511145.b1689	P76196
511145.b1693	P05194
511145.b1694	P37766
511145.b1695	P0A9U8
511145.b1696	P77402
511145.b1697	P76201
511145.b1701	P38135
511145.b1702	P23538
511145.b1703	P0A8A4
511145.b1704	P00887
511145.b1705	P0ACX9
511145.b1706	P77649
511145.b1708	P23898
511145.b1709	P06611
511145.b1710	P06610
511145.b1712	P0A6X7
511145.b1713	P07395
