From	To
4896.SPAC13G7.05-1	Q10269
4896.SPAC13G7.06-1	Q10270
4896.SPAC13G7.08c-1	Q10272
4896.SPAC13G7.11-1	Q10275
4896.SPAC13G7.12c-1	Q10276
4896.SPAC13G7.13c-1	Q10277
4896.SPAC140.01-1	P21911
4896.SPAC140.02-1	P41891
4896.SPAC1420.02c-1	Q9UTM4
4896.SPAC144.01-1	Q9UTM1
4896.SPAC144.02-1	Q9UTM0
4896.SPAC144.03-1	Q02787
4896.SPAC144.04c-1	Q9UQW9
4896.SPAC144.06-1	Q9UTL8
4896.SPAC144.08-1	Q9UTL6
4896.SPAC144.09c-1	Q9UTL5
4896.SPAC144.12-1	Q9UTL3
4896.SPAC144.14-1	Q9UTL2
4896.SPAC144.15c-1	Q9UTL1
4896.SPAC144.17c-1	Q9UTK9
4896.SPAC144.18-1	Q9UTK8
4896.SPAC1486.01-1	Q9UQX0
4896.SPAC1486.02c-1	Q9UTK7
4896.SPAC1486.03c-1	Q9UTK6
4896.SPAC1486.04c-1	Q9UTK5
4896.SPAC1486.05-1	Q9UTK4
4896.SPAC1486.06-1	Q9UTK3
4896.SPAC1486.08-1	Q9UTK1
4896.SPAC1486.09-1	Q9UTK0
4896.SPAC1486.10-1	P36598
4896.SPAC14C4.01c-1	O13709
4896.SPAC14C4.02c-1	O13710
4896.SPAC14C4.04-1	O13711
4896.SPAC14C4.05c-1	O13712
4896.SPAC14C4.06c-1	O13713
4896.SPAC14C4.07-1	O13714
4896.SPAC14C4.11-1	O13718
4896.SPAC14C4.12c-1	O13719
4896.SPAC14C4.14-1	P24487
4896.SPAC14C4.16-1	P62505
4896.SPAC1527.02-1	Q9P6K1
4896.SPAC1527.03-1	Q9P6K0
4896.SPAC1556.01c-1	Q9UTJ8
4896.SPAC1556.02c-1	Q9UTJ7
4896.SPAC1556.03-1	Q09189
4896.SPAC1556.04c-1	Q09190
4896.SPAC1556.07-1	Q9UTJ2
4896.SPAC1556.08c-1	Q10343
4896.SPAC1565.01-1	Q9P3B2
4896.SPAC1565.04c-1	P36622
4896.SPAC1565.05-1	Q9P3A9
4896.SPAC1565.06c-1	P87027
4896.SPAC1565.07c-1	Q9P3A8
4896.SPAC1565.08-1	Q9P3A7
4896.SPAC15A10.01-1	O14286
4896.SPAC15A10.02-1	O13722
4896.SPAC15A10.04c-1	O13724
4896.SPAC15A10.05c-1	O13725
4896.SPAC15A10.06-1	O13726
4896.SPAC15A10.08-1	O13728
4896.SPAC15A10.09c-1	O13729
4896.SPAC15A10.11-1	O13731
4896.SPAC15A10.13-1	O13733
4896.SPAC15A10.15-1	O13734
4896.SPAC15A10.16-1	O13735
4896.SPAC15E1.02c-1	Q9UTI9
4896.SPAC15E1.03-1	Q9UTI8
4896.SPAC15E1.04-1	Q9UTI7
4896.SPAC15E1.05c-1	Q9UTI6
4896.SPAC15E1.06-1	Q9UTI5
4896.SPAC15E1.08-1	Q9UTI3
4896.SPAC15E1.09-1	Q9UTI2
4896.SPAC15E1.10-1	Q9UTI1
4896.SPAC15F9.02-1	Q10099
4896.SPAC15F9.03c-1	Q10100
4896.SPAC16.02c-1	P78814
4896.SPAC16.03c-1	Q9UTI0
4896.SPAC16.04-1	Q9UTH9
4896.SPAC1610.01-1	O13777
4896.SPAC1610.02c-1	Q9P6M9
4896.SPAC1635.01-1	Q9P544
4896.SPAC1639.01c-1	Q7LKX0
4896.SPAC167.02-1	P46960
4896.SPAC167.03c-1	O94538
4896.SPAC167.04-1	O94539
4896.SPAC167.05-1	P87132
4896.SPAC167.06c-1	P87133
4896.SPAC167.07c-1	Q1K9C4
4896.SPAC1687.01-1	Q09177
4896.SPAC1687.03c-1	O94449
4896.SPAC1687.04-1	O94450
4896.SPAC1687.05-1	O94451
4896.SPAC1687.06c-1	O14069
