#name: Zivanovic,Genome_Biol,2009
#score: 7.5
#weight: 100%
#description: abundance based on Spectral counting, from <a href="http://www.ncbi.nlm.nih.gov/pubmed?term=19558674" target="_blank">Zivanovic,Genome_Biol, 2009</a><br/><b>Interaction consistency score</b>: 7.5&nbsp<b>Coverage</b>: 62%
#organ: WHOLE_ORGANISM
#integrated: false
#
#internal_id	string_external_id	abundance_ppm	raw_spectral_count
#
5110902	593117.TGAM_2156	3.8982234339941417	2
5110903	593117.TGAM_2157	259.90857236590824	54
5110896	593117.TGAM_2150	1495.3066949057613	307
5110897	593117.TGAM_2151	647.1950239623774	103
5110900	593117.TGAM_2154	11.376883211299415	4
5110538	593117.TGAM_1792	784.1147450574501	219
5110537	593117.TGAM_1791	1182.0547369125532	355
5110898	593117.TGAM_2152	43.646919928263216	21
5110536	593117.TGAM_1790	388.07334024219944	143
5110899	593117.TGAM_2153	38.5741723156613	7
5110530	593117.TGAM_1784	655.2909275969195	47
5110275	593117.TGAM_1529	1.7675249477289856	1
5110893	593117.TGAM_2147	291.2131719864346	50
5110892	593117.TGAM_2146	159.28313312671185	54
5110272	593117.TGAM_1526	2.227257435040823	1
5110528	593117.TGAM_1782	271.0852654228535	30
5110529	593117.TGAM_1783	1061.1101677522233	163
5110891	593117.TGAM_2145	23.40964817324301	7
5110535	593117.TGAM_1789	201.61172301326883	18
5110532	593117.TGAM_1786	2915.472599773497	778
5110533	593117.TGAM_1787	542.3968627662513	91
5110895	593117.TGAM_2149	1046.3169139067513	161
5110266	593117.TGAM_1520	694.0184640056121	214
5110267	593117.TGAM_1521	84.51834403212574	12
5110271	593117.TGAM_1525	100.67443467413506	17
5110268	593117.TGAM_1522	116.24997599722329	14
5110269	593117.TGAM_1523	5.662835306640892	2
5110886	593117.TGAM_2140	84.23012126730755	16
5110888	593117.TGAM_2142	40.347193353296944	13
5110889	593117.TGAM_2143	211.55173579887676	92
5110539	593117.TGAM_1793	263.23917865737997	18
5110283	593117.TGAM_1537	126.37031555679667	20
5110880	593117.TGAM_2134	31.321891887962224	6
5110284	593117.TGAM_1538	2277.3790344424765	593
5110883	593117.TGAM_2137	83.04424234846601	23
5110542	593117.TGAM_1796	5.999636794284733	1
5110544	593117.TGAM_1798	441.8402210153641	65
5110276	593117.TGAM_1530	61.969368955754206	7
5110277	593117.TGAM_1531	859.1189920842992	179
5110279	593117.TGAM_1533	8320.751843734042	758
5110280	593117.TGAM_1534	20037.159296921185	2125
5110281	593117.TGAM_1535	2072.601837331805	128
5110282	593117.TGAM_1536	348.14455842007544	32
5110878	593117.TGAM_2132	13.563891478167648	4
5110879	593117.TGAM_2133	163.83021011138632	14
5110877	593117.TGAM_2131	3735.948436586643	630
5110874	593117.TGAM_2128	3.6785499736128844	1
5110871	593117.TGAM_2125	243.3587129937226	32
5110870	593117.TGAM_2124	614.2119046007128	276
5110869	593117.TGAM_2123	183.55946079171528	19
5110251	593117.TGAM_1505	1299.927769372522	466
5110249	593117.TGAM_1503	172.33511557911234	12
5110246	593117.TGAM_1500	136.07360919513783	15
5110247	593117.TGAM_1501	19.83474271634121	1
5110868	593117.TGAM_2122	33.11540018340353	14
5110261	593117.TGAM_1515	11.514854159399745	3
5110858	593117.TGAM_2112	2.485341619052437	1
5110861	593117.TGAM_2115	16.176798754173955	2
5110860	593117.TGAM_2114	358.6410160615463	50
5110257	593117.TGAM_1511	1445.5949299289948	679
5110258	593117.TGAM_1512	124.35051310639815	12
5110259	593117.TGAM_1513	20.456073952280516	2
5110260	593117.TGAM_1514	17.381300558371866	3
5109440	593117.TGAM_0694	76.83597038981665	3
5110851	593117.TGAM_2105	615.2521092295603	113
5110852	593117.TGAM_2106	12.08114346984725	3
5110853	593117.TGAM_2107	26.232123003715092	11
5109444	593117.TGAM_0698	1247.0092983505517	454
5110854	593117.TGAM_2108	35.51628242488466	6
5109244	593117.TGAM_0498	1276.241613863756	120
5109243	593117.TGAM_0497	2.5765129284883934	1
5110857	593117.TGAM_2111	50.394645951995166	20
5109245	593117.TGAM_0499	966.6160299330111	18
5110856	593117.TGAM_2110	380.95318701323396	54
5110846	593117.TGAM_2100	27.35178461744838	5
5109207	593117.TGAM_0461	4798.936390686472	781
5109206	593117.TGAM_0460	5074.688871589557	1130
5109205	593117.TGAM_0459	1613.4370080197332	140
5109199	593117.TGAM_0453	9.075720444649425	4
5109200	593117.TGAM_0454	271.0190828843941	22
5109198	593117.TGAM_0452	6.289218971331779	2
5109203	593117.TGAM_0457	53.669601500764784	5
5109201	593117.TGAM_0455	15.578341644793957	2
5109216	593117.TGAM_0470	179.91948292367925	18
5109218	593117.TGAM_0472	26.129194854096216	2
5108947	593117.TGAM_0200	52.24329069361887	3
5108949	593117.TGAM_0202	8.061374790614249	1
5109208	593117.TGAM_0462	44.57890967782778	6
5109209	593117.TGAM_0463	1526.506521502954	161
5109210	593117.TGAM_0464	59.43725149483681	14
5109211	593117.TGAM_0465	113.3038887145034	22
5109213	593117.TGAM_0467	1553.2594308972987	159
5109214	593117.TGAM_0468	806.4348505143504	269
5109215	593117.TGAM_0469	2847.5076066363367	478
5109229	593117.TGAM_0483	2633.7895712887284	752
5109228	593117.TGAM_0482	587.8562307951481	86
5109227	593117.TGAM_0481	54.33962201386011	11
5109226	593117.TGAM_0480	2428.5316179281895	809
5109225	593117.TGAM_0479	25.25952621422627	4
5109223	593117.TGAM_0477	6549.500302619949	206
5109220	593117.TGAM_0474	71.83053327374863	5
5109236	593117.TGAM_0490	1474.7247148997124	110
